round,agg_rule,accuracy,reward,state_norm_var,state_cosine_sim,state_mean_norm
1,fed_avg,10.0,-0.1,7.344188634306192e-05,0.998094916343689,8.855403900146484
2,median,12.2,1.7999999999999994,0.00012672394223045558,0.9979151487350464,8.860224723815918
3,median,9.98,-2.6199999999999988,0.00019476078159641474,0.9977616667747498,8.86312198638916
4,krum,10.0,-0.7800000000000005,0.0003397204854991287,0.9975078105926514,8.869601249694824
5,fed_avg,10.5,0.4,0.00031220921664498746,0.9974700808525085,8.871208190917969
6,fed_avg,15.93,5.33,0.0005458635278046131,0.9968957901000977,8.88831615447998
7,fed_avg,16.91,0.8800000000000004,0.0003929567465092987,0.9962496161460876,8.920495986938477
8,fed_avg,13.9,-3.11,0.00014449114678427577,0.9965716600418091,8.952010154724121
9,fed_avg,12.77,-1.2300000000000009,0.00011672944674501196,0.9971925020217896,8.978248596191406
10,fed_avg,13.83,0.9600000000000005,0.00010144121188204736,0.997605562210083,8.999567031860352
11,fed_avg,15.3,1.3700000000000006,7.407520752167329e-05,0.9978064894676208,9.016496658325195
12,fed_avg,16.59,1.189999999999999,7.953309250297025e-05,0.9979678988456726,9.032791137695312
13,fed_avg,18.19,1.5000000000000013,8.362373773707077e-05,0.9979965686798096,9.048809051513672
14,fed_avg,18.82,0.529999999999999,6.828735786257312e-05,0.998062014579773,9.064635276794434
15,fed_avg,19.54,0.6199999999999989,0.00010139318328583613,0.998085081577301,9.081489562988281
16,fed_avg,20.22,0.5799999999999997,9.806218440644443e-05,0.998124361038208,9.099203109741211
17,fed_avg,20.73,0.4100000000000016,0.00010454445146024227,0.9981956481933594,9.115482330322266
18,fed_avg,21.38,0.5499999999999986,9.455228428123519e-05,0.9982196092605591,9.131692886352539
19,fed_avg,22.28,0.8000000000000022,0.00011440608068369329,0.9982967376708984,9.145316123962402
20,fed_avg,23.69,1.31,0.0001122275716625154,0.998302161693573,9.159461975097656
21,fed_avg,24.38,0.5899999999999977,0.0001075885520549491,0.998318612575531,9.17357063293457
22,fed_avg,25.42,0.9400000000000027,0.00010958811617456377,0.9983108043670654,9.187674522399902
23,fed_avg,25.61,0.08999999999999772,9.422271978110075e-05,0.9983373284339905,9.202787399291992
24,fed_avg,26.88,1.1699999999999995,9.519590821582824e-05,0.9983683228492737,9.217976570129395
25,fed_avg,27.3,0.3200000000000017,0.0001084471950889565,0.9983782768249512,9.234665870666504
26,fed_avg,29.08,1.6799999999999975,9.248511196346954e-05,0.9983697533607483,9.25020980834961
27,fed_avg,29.18,1.4155343563970746e-15,8.293556311400607e-05,0.998418927192688,9.267706871032715
28,fed_avg,30.03,0.7500000000000014,8.998608245747164e-05,0.9984269142150879,9.284832954406738
29,fed_avg,30.24,0.1099999999999973,0.00010095413017552346,0.9984688758850098,9.302638053894043
30,fed_avg,30.75,0.4100000000000016,0.00011526438902365044,0.9984503984451294,9.320930480957031
31,fed_avg,31.58,0.7299999999999983,0.00011457842629170045,0.998498797416687,9.338775634765625
32,fed_avg,31.86,0.18000000000000113,0.0001067198027158156,0.9985013008117676,9.356759071350098
33,fed_avg,32.29,0.32999999999999974,0.00010546357952989638,0.9985190629959106,9.375532150268555
34,fed_avg,32.86,0.4700000000000003,8.784929377725348e-05,0.9985426068305969,9.395197868347168
35,fed_avg,33.18,0.22000000000000028,0.00012493273243308067,0.9985845685005188,9.413422584533691
36,fed_avg,34.02,0.7400000000000034,9.81350676738657e-05,0.998596727848053,9.431428909301758
37,fed_avg,34.94,0.8199999999999946,9.060678712558001e-05,0.9986138939857483,9.44955825805664
38,fed_avg,34.97,-0.06999999999999887,0.00010135032789548859,0.9986283779144287,9.467721939086914
39,fed_avg,35.33,0.25999999999999945,9.53615817707032e-05,0.9986199140548706,9.485064506530762
40,fed_avg,35.91,0.4799999999999983,9.523270273348317e-05,0.9986710548400879,9.501544952392578
41,fed_avg,36.31,0.3000000000000057,7.809534145053476e-05,0.9986566305160522,9.518664360046387
42,fed_avg,36.58,0.16999999999999602,7.56723529775627e-05,0.9986763596534729,9.536478996276855
43,fed_avg,36.7,0.020000000000004542,8.026252908166498e-05,0.9986807107925415,9.552351951599121
44,fed_avg,37.27,0.4700000000000003,7.339641160797328e-05,0.9986940622329712,9.568464279174805
45,fed_avg,37.16,-0.21000000000000654,7.525119872298092e-05,0.9986895322799683,9.58417797088623
46,fed_avg,37.51,0.25000000000000144,7.87895914982073e-05,0.9986942410469055,9.599906921386719
47,fed_avg,38.15,0.5400000000000006,8.017790241865441e-05,0.9986917972564697,9.615403175354004
48,fed_avg,37.83,-0.42000000000000026,5.6304907047888264e-05,0.9987147450447083,9.631016731262207
49,fed_avg,38.33,0.4,5.2086317737121135e-05,0.9987188577651978,9.645472526550293
50,fed_avg,38.82,0.390000000000002,6.130735710030422e-05,0.9987008571624756,9.659666061401367
